web-scraper-order,web-scraper-start-url,title,rating
1615234381-40,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Francia,null
1615234381-28,https://www.rappi.com.mx/restaurantes/category/pizza,Sofía Pizzería,null
1615234381-1,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.8
1615234381-27,https://www.rappi.com.mx/restaurantes/category/pizza,Lynchburg,null
1615234381-18,https://www.rappi.com.mx/restaurantes/category/pizza,Zapata Pizza,4.6
1615234381-23,https://www.rappi.com.mx/restaurantes/category/pizza,Mama’s y Papa’s,null
1615234381-30,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza York,null
1615234381-26,https://www.rappi.com.mx/restaurantes/category/pizza,Alpaso Pizzería,null
1615234381-36,https://www.rappi.com.mx/restaurantes/category/pizza,La Mía Pizza,4.7
1615234381-8,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,5
1615234381-3,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.7
1615234381-25,https://www.rappi.com.mx/restaurantes/category/pizza,Asadero GranD,null
1615234381-22,https://www.rappi.com.mx/restaurantes/category/pizza,Little Rome Pizza,null
1615234381-15,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Sinatra 351,null
1615234381-11,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,4.4
1615234381-9,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Ragazzo,null
1615234381-39,https://www.rappi.com.mx/restaurantes/category/pizza,U' Furno,null
1615234381-13,https://www.rappi.com.mx/restaurantes/category/pizza,Brutus Pizza,4.8
1615234381-21,https://www.rappi.com.mx/restaurantes/category/pizza,ke chelas,null
1615234381-38,https://www.rappi.com.mx/restaurantes/category/pizza,Pixxa,null
1615234381-20,https://www.rappi.com.mx/restaurantes/category/pizza,College Bar,null
1615234381-7,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,4.8
1615234381-19,https://www.rappi.com.mx/restaurantes/category/pizza,Fiume 37,null
1615234381-34,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino's Pizza,4.8
1615234381-33,https://www.rappi.com.mx/restaurantes/category/pizza,Hamburwings,null
1615234381-6,https://www.rappi.com.mx/restaurantes/category/pizza,San Teo,null
1615234381-29,https://www.rappi.com.mx/restaurantes/category/pizza,Movies Pizza,5
1615234381-17,https://www.rappi.com.mx/restaurantes/category/pizza,"Rodeo Cruzeli's Pizza Suc: Comerciantes, Qro.",null
1615234381-37,https://www.rappi.com.mx/restaurantes/category/pizza,Jaguar Azul,null
1615234381-35,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Tec,null
1615234381-4,https://www.rappi.com.mx/restaurantes/category/pizza,Crécola,4.8
1615234381-14,https://www.rappi.com.mx/restaurantes/category/pizza,Pronto Pizza Qro,null
1615234381-2,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.6
1615234381-24,https://www.rappi.com.mx/restaurantes/category/pizza,Galia - Postreria y Pizza,null
1615234381-10,https://www.rappi.com.mx/restaurantes/category/pizza,Sinatra Pizzeria,null
1615234381-31,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,null
1615234381-5,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5
1615234381-16,https://www.rappi.com.mx/restaurantes/category/pizza,"Gab's Pizzas, Burritos y Mas",null
1615234381-32,https://www.rappi.com.mx/restaurantes/category/pizza,Di Vino Italian Restaurant,null
1615234381-12,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Ricum Di Vendi,null
1615236229-112,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,4.8
1615236229-138,https://www.rappi.com.mx/restaurantes/category/pizza,Jaguar Azul,null
1615236229-114,https://www.rappi.com.mx/restaurantes/category/pizza,Sinatra Pizzeria,null
1615236229-118,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema Pizza Buffet,null
1615236229-105,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7
1615236229-140,https://www.rappi.com.mx/restaurantes/category/pizza,Pixxa,null
1615236229-135,https://www.rappi.com.mx/restaurantes/category/pizza,Galia - Postreria y Pizza,null
1615236229-115,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,3.2
1615236229-130,https://www.rappi.com.mx/restaurantes/category/pizza,Buda Pizza,null
1615236229-133,https://www.rappi.com.mx/restaurantes/category/pizza,Aldo's Pizza,null
1615236229-143,https://www.rappi.com.mx/restaurantes/category/pizza,Bora Borazza,null
1615236229-111,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,3.5
1615236229-128,https://www.rappi.com.mx/restaurantes/category/pizza,Asadero GranD,null
1615236229-120,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Trattoria,null
1615236229-126,https://www.rappi.com.mx/restaurantes/category/pizza,Alpaso Pizzería,null
1615236229-142,https://www.rappi.com.mx/restaurantes/category/pizza,La Mía Pizza,4.7
1615236229-132,https://www.rappi.com.mx/restaurantes/category/pizza,Lynchburg,null
1615236229-131,https://www.rappi.com.mx/restaurantes/category/pizza,Nambila Pizza,null
1615236229-139,https://www.rappi.com.mx/restaurantes/category/pizza,U' Furno,null
1615236229-125,https://www.rappi.com.mx/restaurantes/category/pizza,Stromboli Pizza Villas,null
1615236229-129,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Sinatra 351,null
1615236229-122,https://www.rappi.com.mx/restaurantes/category/pizza,"Gab's Pizzas, Burritos y Mas",null
1615236229-134,https://www.rappi.com.mx/restaurantes/category/pizza,Mama’s y Papa’s,null
1615236229-119,https://www.rappi.com.mx/restaurantes/category/pizza,Dio Pizza.,null
1615236229-109,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5
1615236229-136,https://www.rappi.com.mx/restaurantes/category/pizza,Little Rome Pizza,null
1615236229-110,https://www.rappi.com.mx/restaurantes/category/pizza,San Teo,null
1615236229-104,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.7
1615236229-113,https://www.rappi.com.mx/restaurantes/category/pizza,La Patrona QRO,4.5
1615236229-137,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.6
1615236229-108,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.3
1615236229-107,https://www.rappi.com.mx/restaurantes/category/pizza,Crécola,4.8
1615236229-106,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino's Pizza,4.8
1615236229-141,https://www.rappi.com.mx/restaurantes/category/pizza,Romeo & Julieta Café,null
1615236229-127,https://www.rappi.com.mx/restaurantes/category/pizza,Corleone Pizza,null
1615236229-116,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,null
1615236229-123,https://www.rappi.com.mx/restaurantes/category/pizza,Zapata Pizza,4.6
1615236229-121,https://www.rappi.com.mx/restaurantes/category/pizza,"Rodeo Cruzeli's Pizza Suc: Comerciantes, Qro.",null
1615236229-117,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null
1615236229-124,https://www.rappi.com.mx/restaurantes/category/pizza,Little Hot Pizza,null
1615235103-43,https://www.rappi.com.mx/restaurantes/category/pizza,Chechinos Pizza,null
1615235103-47,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Pub,null
1615235103-46,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,null
1615235103-45,https://www.rappi.com.mx/restaurantes/category/pizza,Sofía Pizzería,null
1615235103-54,https://www.rappi.com.mx/restaurantes/category/pizza,Marconni's Pizzería,null
1615235103-55,https://www.rappi.com.mx/restaurantes/category/pizza,Le Chef Querétaro,null
1615235103-42,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.1
1615235103-48,https://www.rappi.com.mx/restaurantes/category/pizza,El Hornero Pizzas y Empanadas,null
1615235103-51,https://www.rappi.com.mx/restaurantes/category/pizza,Sbarro,null
1615235103-53,https://www.rappi.com.mx/restaurantes/category/pizza,San Teo,4.7
1615235103-52,https://www.rappi.com.mx/restaurantes/category/pizza,Chef On Fuego,null
1615235103-41,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,4.3
1615235103-49,https://www.rappi.com.mx/restaurantes/category/pizza,Angie's Pizza,null
1615235103-50,https://www.rappi.com.mx/restaurantes/category/pizza,Ge Vito's Pizza Juriquilla,null
1615235103-44,https://www.rappi.com.mx/restaurantes/category/pizza,Piu Pizza,4.6
1615235357-57,https://www.rappi.com.mx/restaurantes/category/pizza,Los Dogos,4.5
1615235357-68,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,4.3
1615235357-56,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7
1615235357-85,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,null
1615235357-65,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Trattoria,null
1615235357-72,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Sinatra 351,null
1615235357-73,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Ragazzo,null
1615235357-60,https://www.rappi.com.mx/restaurantes/category/pizza,Sinatra Pizzeria,null
1615235357-59,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,null
1615235357-74,https://www.rappi.com.mx/restaurantes/category/pizza,Slicers Pizza,null
1615235357-78,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.6
1615235357-86,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.3
1615235357-62,https://www.rappi.com.mx/restaurantes/category/pizza,Furiosa Sports Bar,null
1615235357-69,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema Pizza Buffet,null
1615235357-75,https://www.rappi.com.mx/restaurantes/category/pizza,La Filippa Pizza,null
1615235357-66,https://www.rappi.com.mx/restaurantes/category/pizza,Buda Pizza,null
1615235357-82,https://www.rappi.com.mx/restaurantes/category/pizza,Galia - Postreria y Pizza,null
1615235357-63,https://www.rappi.com.mx/restaurantes/category/pizza,Nambila Pizza,null
1615235357-71,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.8
1615235357-81,https://www.rappi.com.mx/restaurantes/category/pizza,Lynchburg,null
1615235357-84,https://www.rappi.com.mx/restaurantes/category/pizza,La Patrona QRO,4.5
1615235357-58,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,2.5
1615235357-70,https://www.rappi.com.mx/restaurantes/category/pizza,Sofía Pizzería,null
1615235357-61,https://www.rappi.com.mx/restaurantes/category/pizza,"Gab's Pizzas, Burritos y Mas",null
1615235357-79,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5
1615235357-67,https://www.rappi.com.mx/restaurantes/category/pizza,Napoli Pizza Plaza Callao,null
1615235357-80,https://www.rappi.com.mx/restaurantes/category/pizza,Promo Pizza,null
1615235357-77,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Ricum Di Vendi,null
1615235357-83,https://www.rappi.com.mx/restaurantes/category/pizza,Mozza Pizzería,null
1615235357-64,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null
1615235357-89,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,null
1615235357-90,https://www.rappi.com.mx/restaurantes/category/pizza,Bora Borazza,null
1615235357-76,https://www.rappi.com.mx/restaurantes/category/pizza,College Bar,null
1615235357-87,https://www.rappi.com.mx/restaurantes/category/pizza,Aldo's Pizza,null
1615235357-88,https://www.rappi.com.mx/restaurantes/category/pizza,Trattoria la Nonna Mirador,4.7
1615235846-95,https://www.rappi.com.mx/restaurantes/category/pizza,Lucciano's,null
1615235846-92,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,3.7
1615235846-102,https://www.rappi.com.mx/restaurantes/category/pizza,Reginella,null
1615235846-99,https://www.rappi.com.mx/restaurantes/category/pizza,Ameizing Pizza,null
1615235846-93,https://www.rappi.com.mx/restaurantes/category/pizza,Piccolo Pizza,null
1615235846-91,https://www.rappi.com.mx/restaurantes/category/pizza,Piero's Pizzas,null
1615235846-101,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzas Campanario,null
1615235846-94,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Puq,null
1615235846-100,https://www.rappi.com.mx/restaurantes/category/pizza,Promo Pizza,null
1615235846-96,https://www.rappi.com.mx/restaurantes/category/pizza,Nuut Grill,null
1615235846-97,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Industry,null
1615235846-98,https://www.rappi.com.mx/restaurantes/category/pizza,Mi Pizza,null
1615235846-103,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Al Volo,4.9